global_topic_cluster,slice,count
-1,c0004_r0000,86
-1,c0004_r0003,73
-1,c0004_r0004,46
-1,c0001_r0000,43
-1,c0006_r0001,41
-1,c0004_r0002,39
-1,c0002_r0000,21
-1,c0003_r0000,15
-1,OTHER,95
0,c0004_r0001,20
0,c0003_r0000,1
0,c0004_r0003,1
0,c0004_r0002,0
0,c0007_r0002,0
0,c0007_r0001,0
0,c0007_r0000,0
0,c0006_r0001,0
1,c0004_r0000,5
1,c0004_r0004,3
1,c0004_r0003,3
1,noise,2
1,c0003_r0004,2
1,c0006_r0001,1
1,c0005_r0000,1
1,c0004_r0002,0
10,c0004_r0001,7
10,c0002_r0000,4
10,c0003_r0004,4
10,c0004_r0000,2
10,c0004_r0004,1
10,c0003_r0000,1
10,c0003_r0001,1
10,c0007_r0001,1
10,OTHER,1
11,c0004_r0002,9
11,c0005_r0000,4
11,c0006_r0001,3
11,c0004_r0000,2
11,c0000_r0000,1
11,c0001_r0000,1
11,c0004_r0001,1
11,c0002_r0000,1
12,c0004_r0000,3
12,c0004_r0001,2
12,c0007_r0002,2
12,c0003_r0000,2
12,c0004_r0002,2
12,c0004_r0004,1
12,c0007_r0001,1
12,c0003_r0006,1
12,OTHER,1
13,c0004_r0004,17
13,c0004_r0003,9
13,c0006_r0001,6
13,c0005_r0000,4
13,c0004_r0000,3
13,c0004_r0002,3
13,c0001_r0000,2
13,c0007_r0002,1
13,OTHER,1
14,c0004_r0000,14
14,c0004_r0004,8
14,c0004_r0002,5
14,c0003_r0006,4
14,c0004_r0003,4
14,c0006_r0001,3
14,c0007_r0002,2
14,c0007_r0000,2
14,OTHER,5
15,c0004_r0000,6
15,c0003_r0000,5
15,c0003_r0006,5
15,c0004_r0004,4
15,c0006_r0001,4
15,c0004_r0003,4
15,c0004_r0001,3
15,c0001_r0000,2
15,OTHER,5
16,c0004_r0002,11
16,c0004_r0004,8
16,c0006_r0001,3
16,c0004_r0001,2
16,c0004_r0003,2
16,c0001_r0000,2
16,c0004_r0000,2
16,c0003_r0006,1
16,OTHER,3
17,c0004_r0000,9
17,c0003_r0000,2
17,c0006_r0001,2
17,c0004_r0002,2
17,c0004_r0004,2
17,c0002_r0000,1
17,c0003_r0001,1
17,c0003_r0002,1
17,OTHER,2
18,c0006_r0001,8
18,c0004_r0000,4
18,c0001_r0000,3
18,c0007_r0002,3
18,c0004_r0003,2
18,c0004_r0002,2
18,c0003_r0006,2
18,c0000_r0000,1
18,OTHER,4
19,c0006_r0001,4
19,c0004_r0003,4
19,c0001_r0000,4
19,c0004_r0000,3
19,c0004_r0001,2
19,c0004_r0002,1
19,c0007_r0001,1
19,c0004_r0004,1
2,c0004_r0001,10
2,c0003_r0000,5
2,c0002_r0000,2
2,c0004_r0000,2
2,c0004_r0002,1
2,c0004_r0003,0
2,c0007_r0002,0
2,c0007_r0001,0
20,c0004_r0000,5
20,c0006_r0001,4
20,c0004_r0004,3
20,c0004_r0003,3
20,c0007_r0001,2
20,c0003_r0000,1
20,c0003_r0001,1
20,c0003_r0002,1
20,OTHER,2
21,c0006_r0001,3
21,c0004_r0000,3
21,c0002_r0000,2
21,c0004_r0002,2
21,c0007_r0002,1
21,c0003_r0001,1
21,c0007_r0001,1
21,c0003_r0004,1
21,OTHER,1
22,c0006_r0001,53
22,c0004_r0000,20
22,c0004_r0002,11
22,c0003_r0000,9
22,c0007_r0002,9
22,c0007_r0001,8
22,c0004_r0003,7
22,c0003_r0002,6
22,OTHER,20
23,c0004_r0000,22
23,c0006_r0001,11
23,c0004_r0002,9
23,c0004_r0001,5
23,c0007_r0002,4
23,c0003_r0006,4
23,c0004_r0003,4
23,c0004_r0004,4
23,OTHER,9
24,c0004_r0000,3
24,c0002_r0000,3
24,c0005_r0000,3
24,c0004_r0003,2
24,c0000_r0000,1
24,c0007_r0002,1
24,c0007_r0000,1
24,c0004_r0004,1
24,OTHER,3
25,c0004_r0000,15
25,c0006_r0001,7
25,c0007_r0002,5
25,c0004_r0002,5
25,c0007_r0001,4
25,c0005_r0000,3
25,c0004_r0004,3
25,c0000_r0000,2
25,OTHER,9
26,c0005_r0000,6
26,c0006_r0001,5
26,c0004_r0000,5
26,c0004_r0002,5
26,c0007_r0002,2
26,c0007_r0001,2
26,c0004_r0004,2
26,c0002_r0000,1
26,OTHER,1
27,c0004_r0002,6
27,c0004_r0000,5
27,c0004_r0004,3
27,c0006_r0001,3
27,c0001_r0000,3
27,c0003_r0000,1
27,c0007_r0001,1
27,c0003_r0006,1
27,OTHER,1
28,c0004_r0000,10
28,c0004_r0004,2
28,c0004_r0003,2
28,c0001_r0000,2
